object	attribute	name	width	edit	type	table_id	sortby	groupby	justify	pub
dummy	dummy	None	null	N	label	null	N	Y	c	N
proposal	prop_id	PropNum	null	N	button	null	Y	N	c	Y
proposal	tc_prop	TC	null	N	label	null	Y	Y	c	Y
proposal	mcop	MCOP	null	N	label	null	Y	Y	c	Y
proposal	conflict	Conflict	null	N	label	null	Y	Y	c	Y
proposal	mon_flag	MonP	null	N	label	null	Y	Y	c	Y
proposal	grid_flag	GridP	null	N	label	null	Y	Y	c	Y
proposal	group_id	Grp	3	Y	label	null	Y	Y	l	Y
proposal	category	Cat	3	N	label	null	Y	Y	c	Y
proposal	scicat	SciCat	null	N	label	null	Y	Y	l	Y
proposal	tag_num	Tag	4	N	label	null	Y	Y	c	Y
proposal	last_name	PI	null	N	label	null	Y	N	l	Y
proposal	type	Type	null	N	label	null	Y	Y	l	Y
proposal	big_proj	Sub Type	null	N	label	null	Y	Y	l	Y
proposal	prop_req_time	Tot Req Time 24/25/26	7	N	multi	null	N	N	c	Y
proposal	prop_app_time	Tot App Time 24/25/26	7	Y	multi	null	N	N	c	Y
proposal	prop_app_hel	Tot App HEL 24/25/26	7	Y	multi	null	N	N	c	Y
proposal	total_req_time	Req Time 24/25/26	7	N	multi	null	Y	N	r	Y
proposal	total_app_time	App Time 24/25/26	7	Y	multi	null	Y	N	r	Y
proposal	tax_tot	Tax Total 24/25/26	7	Y	multi	null	Y	N	r	Y
proposal	rc_score_app	RC Total 24/25/26	7	Y	multi	null	Y	N	r	Y
proposal	num_targ_req	Num Targ Req 24/25/26	3	N	multi	null	Y	N	r	Y
proposal	num_targ_app	Num Targ App 24/25/26	3	Y	multi	null	Y	N	r	Y
proposal	num_obs_req	Num Obs Req 24/25/26	3	N	multi	null	Y	N	r	Y
proposal	num_obs_app	Num Obs App 24/25/26	3	Y	multi	null	Y	N	r	Y
proposal	prop_app_time	Tot Time App/Req (24)	7	Y	combo	null	N	N	c	Y
proposal	total_app_time	Time App/Req (24)	7	Y	combo	null	N	N	c	Y
proposal	num_targ_app	Num Targ App/Req (24)	3	Y	combo	null	N	N	c	Y
proposal	num_obs_app	Num Obs App/Req (24)	3	Y	combo	null	N	N	c	Y
proposal	prop_app_time_1	Tot Time App/Req (25)	7	Y	combo	null	N	N	c	Y
proposal	total_app_time_1	Time App/Req (25)	7	Y	combo	null	N	N	c	Y
proposal	num_targ_app_1	Num Targ App/Req (25)	3	Y	combo	null	N	N	c	Y
proposal	num_obs_app_1	Num Obs App/Req (25)	3	Y	combo	null	N	N	c	Y
proposal	prop_app_time_2	Tot Time App/Req (26)	7	Y	combo	null	N	N	c	Y
proposal	total_app_time_2	Time App/Req (26)	7	Y	combo	null	N	N	c	Y
proposal	num_targ_app_2	Num Targ App/Req (26)	3	Y	combo	null	N	N	c	Y
proposal	num_obs_app_2	Num Obs App/Req (26)	3	Y	combo	null	N	N	c	Y
