START DATA
MJD|ROLL|ROLL_TOL|PITCH
54830.92|68.02|8.50|130.97
54833.57|67.84|7.78|133.67
54836.21|67.64|7.78|136.36
54838.85|67.42|7.33|139.05
54841.50|67.18|7.78|141.74
54844.14|66.91|7.78|144.43
54846.79|66.60|8.70|147.12
54849.43|66.24|8.70|149.80
54852.08|65.81|9.98|152.49
54854.72|65.31|11.02|155.17
54857.36|64.68|12.79|157.85
54860.01|63.90|14.63|160.52
54862.66|62.88|17.15|163.19
54865.30|61.50|17.15|165.85
54867.94|59.49|20.00|168.49
54870.59|56.31|20.00|171.11
54873.23|50.55|20.00|173.68
54875.88|37.39|20.00|176.10
54878.52|356.31|20.00|177.82
54881.17|295.42|20.00|177.07
54883.81|273.72|20.00|174.84
54886.46|265.59|20.00|172.33
54889.10|261.50|20.00|169.75
54891.75|259.05|20.00|167.14
54894.39|257.42|17.15|164.52
54897.04|256.25|14.63|161.89
54899.68|255.38|12.79|159.26
54902.32|254.69|11.02|156.63
54904.97|254.14|11.02|154.01
54907.61|253.68|9.98|151.38
54910.26|253.29|8.70|148.76
54912.90|252.96|8.70|146.14
54915.55|252.67|7.78|143.52
54918.19|252.42|7.78|140.91
54920.84|252.19|7.33|138.29
54923.48|251.98|7.78|135.69
54926.12|251.80|7.78|133.09
54928.77|251.63|8.50|130.49
54931.41|251.47|8.50|127.89
54934.05|251.32|9.60|125.30
54936.70|251.18|9.60|122.72
54939.34|251.05|10.04|120.13
54941.99|250.93|10.04|117.55
54944.63|250.81|10.04|114.97
54947.28|250.70|10.04|112.40
54949.92|250.59|10.04|109.84
54952.57|250.49|10.04|107.27
54955.21|250.39|10.04|104.71
54957.85|250.29|10.04|102.15
54960.50|250.19|10.04|99.59
54963.14|250.10|10.04|97.04
54965.79|250.00|10.04|94.49
54968.43|249.91|10.04|91.94
54971.08|249.81|10.04|89.39
54973.72|249.72|10.04|86.85
54976.36|249.63|11.75|84.31
54979.01|249.53|11.75|81.77
54981.65|249.44|12.89|79.24
54984.30|249.34|12.89|76.71
54986.94|249.24|13.66|74.18
54989.58|249.14|13.66|71.65
54992.23|249.04|12.89|69.12
54994.87|248.93|12.89|66.59
54997.52|248.82|11.75|64.07
55000.16|248.70|11.75|61.55
55002.81|248.58|10.04|59.03
55005.45|248.45|10.04|56.51
55008.10|248.31|7.14|53.99
55010.74|248.17|7.14|51.47
55013.38|248.01|5.77|48.95
55016.03|247.84|2.05|46.43
55018.67|247.66|0.00|43.91

55111.24|71.89|0.00|45.54
55113.88|71.71|5.19|48.15
55116.52|71.55|7.14|50.76
55119.17|71.39|7.14|53.37
55121.81|71.25|10.04|55.99
55124.46|71.11|10.04|58.62
55127.10|70.99|11.75|61.24
55129.74|70.86|11.75|63.88
55132.39|70.75|12.89|66.51
55135.04|70.63|12.89|69.16
55137.68|70.53|13.66|71.80
55140.32|70.42|13.66|74.44
55142.97|70.32|12.89|77.09
55145.61|70.22|12.89|79.75
55148.25|70.12|11.75|82.41
55150.90|70.02|10.04|85.07
55153.54|69.92|10.04|87.73
55156.19|69.82|10.04|90.40
55158.83|69.72|10.04|93.07
55161.48|69.63|10.04|95.74
55164.12|69.53|10.04|98.42
55166.76|69.43|10.04|101.10
55169.41|69.32|10.04|103.78
55172.05|69.22|10.04|106.46
55174.70|69.11|10.04|109.14
55177.34|69.00|10.04|111.83
55179.98|68.88|10.04|114.51
55182.63|68.76|10.04|117.20
55185.27|68.63|10.04|119.89
