START UPDATE
2008-Sep-19
END UPDATE
START DATA
MJD|ROLL|ROLL_TOL|PITCH
55195.84|293.11|10.04|94.92
55198.48|292.88|10.04|92.23
55201.13|292.64|10.04|89.55
55203.77|292.41|10.04|86.86
55206.42|292.17|11.75|84.18
55209.06|291.94|11.75|81.49
55211.71|291.70|12.89|78.81
55214.35|291.45|12.89|76.12
55217.00|291.20|13.66|73.44
55219.64|290.94|13.66|70.76
55222.29|290.67|12.89|68.08
55224.93|290.40|12.89|65.41
55227.58|290.11|11.75|62.73
55230.22|289.81|11.75|60.07
55232.86|289.49|10.04|57.40
55235.51|289.15|7.14|54.73
55238.15|288.79|7.14|52.07
55240.80|288.40|6.27|49.41
55243.44|287.98|2.05|46.76
55246.09|287.52|0.00|44.11

55335.99|117.71|0.00|44.90
55338.64|117.28|3.94|47.43
55341.28|116.89|6.73|49.95
55343.93|116.53|7.14|52.48
55346.57|116.19|7.14|55.00
55349.22|115.87|10.04|57.52
55351.86|115.57|11.75|60.04
55354.51|115.28|11.75|62.56
55357.15|115.01|12.89|65.08
55359.79|114.75|12.89|67.59
55362.44|114.49|13.66|70.11
55365.08|114.25|13.66|72.62
55367.73|114.01|12.89|75.13
55370.37|113.78|12.89|77.65
55373.02|113.55|11.75|80.16
55375.66|113.33|11.75|82.67
55378.31|113.11|10.04|85.19
55380.95|112.89|10.04|87.70
55383.60|112.67|10.04|90.21
55386.24|112.45|10.04|92.72
55388.88|112.23|10.04|95.23
55391.53|112.00|10.04|97.75
55394.17|111.78|10.04|100.26
55396.82|111.55|10.04|102.77
55399.46|111.32|10.04|105.29
55402.11|111.08|10.04|107.80
55404.75|110.83|10.04|110.32
55407.40|110.58|10.04|112.84
55410.04|110.31|10.04|115.36
55412.69|110.04|10.04|117.88
55415.33|109.75|10.04|120.40
55417.98|109.45|9.60|122.92
55420.62|109.12|9.60|125.44
55423.27|108.78|8.50|127.96
55425.91|108.41|8.50|130.49
55428.56|108.02|7.78|133.02
55431.20|107.58|7.78|135.55
55433.85|107.11|7.33|138.08
55436.49|106.59|7.78|140.61
55439.14|106.00|7.78|143.13
55441.78|105.35|8.70|145.66
55444.42|104.60|8.70|148.19
55447.07|103.73|9.98|150.72
55449.71|102.72|11.02|153.24
55452.36|101.51|11.02|155.76
55455.00|100.04|12.79|158.27
55457.65|98.19|14.63|160.78
55460.29|95.83|17.15|163.25
55462.94|92.67|17.15|165.70
55465.58|88.25|20.00|168.09
55468.22|81.70|20.00|170.38
55470.87|71.31|20.00|172.48
55473.51|54.05|20.00|174.17
55476.16|27.59|20.00|175.00
55478.80|359.01|20.00|174.56
55481.44|338.69|20.00|173.09
55484.09|326.42|20.00|171.07
55486.73|318.83|20.00|168.80
55489.38|313.83|20.00|166.40
