2008-Sep-19
YYYY|MM|DD|MJD|ROLL|VIS|ROLL_TOL|PITCH|PITCH_TYPE
2009| 12|30|55195.84|293.11|0.75|10.04|94.92|EPHIN
2010| 01|01|55198.48|292.88|0.76|10.04|92.23|EPHIN
2010| 01|04|55201.13|292.64|0.75|10.04|89.55|EPHIN
2010| 01|07|55203.77|292.41|0.75|10.04|86.86|EPHIN
2010| 01|09|55206.42|292.17|0.76|11.75|84.18|EPHIN
2010| 01|12|55209.06|291.94|0.75|11.75|81.49|EPHIN
2010| 01|15|55211.71|291.70|0.76|12.89|78.81|EPHIN
2010| 01|17|55214.35|291.45|0.76|12.89|76.12|EPHIN
2010| 01|20|55217.00|291.20|0.76|13.66|73.44|EPHIN
2010| 01|23|55219.64|290.94|0.76|13.66|70.76|EPHIN
2010| 01|25|55222.29|290.67|0.76|12.89|68.08|EPHIN
2010| 01|28|55224.93|290.40|0.76|12.89|65.41|EPHIN
2010| 01|31|55227.58|290.11|0.76|11.75|62.73|EPHIN
2010| 02|02|55230.22|289.81|0.76|11.75|60.07|EPHIN
2010| 02|05|55232.86|289.49|0.76|10.04|57.40|Good
2010| 02|08|55235.51|289.15|0.76|7.14|54.73|PSMC
2010| 02|10|55238.15|288.79|0.76|7.14|52.07|PSMC
2010| 02|13|55240.80|288.40|0.76|6.27|49.41|PSMC
2010| 02|15|55243.44|287.98|0.76|2.05|46.76|PSMC
2010| 02|18|55246.09|287.52|0.00|0.00|44.11|Forbidden
2010| 02|21|55248.73|287.02|0.00|0.00|41.47|Forbidden
2010| 02|23|55251.38|286.46|0.00|0.00|38.83|Forbidden
2010| 02|26|55254.02|285.84|0.00|0.00|36.20|Forbidden
2010| 03|01|55256.67|285.13|0.00|0.00|33.57|Forbidden
2010| 03|03|55259.31|284.32|0.00|0.00|30.96|Forbidden
2010| 03|06|55261.96|283.38|0.00|0.00|28.35|Forbidden
2010| 03|09|55264.60|282.26|0.00|0.00|25.75|Forbidden
2010| 03|11|55267.25|280.92|0.00|0.00|23.17|Forbidden
2010| 03|14|55269.89|279.26|0.00|0.00|20.60|Forbidden
2010| 03|17|55272.54|277.16|0.00|0.00|18.06|Forbidden
2010| 03|19|55275.18|274.41|0.00|0.00|15.55|Forbidden
2010| 03|22|55277.82|270.66|0.00|0.00|13.10|Forbidden
2010| 03|24|55280.47|265.24|0.00|0.00|10.72|Forbidden
2010| 03|27|55283.11|256.94|0.00|0.00|8.49|Forbidden
2010| 03|30|55285.75|243.36|0.00|0.00|6.56|Forbidden
2010| 04|01|55288.40|221.12|0.00|0.00|5.25|Forbidden
2010| 04|04|55291.04|191.92|0.00|0.00|5.07|Forbidden
2010| 04|07|55293.69|167.17|0.00|0.00|6.12|Forbidden
2010| 04|09|55296.33|151.58|0.00|0.00|7.91|Forbidden
2010| 04|12|55298.98|142.15|0.00|0.00|10.06|Forbidden
2010| 04|15|55301.62|136.13|0.00|0.00|12.37|Forbidden
2010| 04|17|55304.26|132.01|0.00|0.00|14.77|Forbidden
2010| 04|20|55306.91|129.04|0.00|0.00|17.22|Forbidden
2010| 04|23|55309.55|126.79|0.00|0.00|19.70|Forbidden
2010| 04|25|55312.20|125.03|0.00|0.00|22.19|Forbidden
2010| 04|28|55314.84|123.62|0.00|0.00|24.70|Forbidden
2010| 04|30|55317.48|122.45|0.00|0.00|27.22|Forbidden
2010| 05|03|55320.13|121.47|0.00|0.00|29.74|Forbidden
2010| 05|06|55322.77|120.63|0.00|0.00|32.27|Forbidden
2010| 05|08|55325.42|119.90|0.00|0.00|34.80|Forbidden
2010| 05|11|55328.06|119.26|0.00|0.00|37.32|Forbidden
2010| 05|14|55330.71|118.68|0.00|0.00|39.85|Forbidden
2010| 05|16|55333.35|118.17|0.00|0.00|42.38|Forbidden
2010| 05|19|55335.99|117.71|0.00|0.00|44.90|Forbidden
2010| 05|22|55338.64|117.28|0.30|3.94|47.43|PSMC
2010| 05|24|55341.28|116.89|0.76|6.73|49.95|PSMC
2010| 05|27|55343.93|116.53|0.76|7.14|52.48|PSMC
2010| 05|30|55346.57|116.19|0.76|7.14|55.00|PSMC
2010| 06|01|55349.22|115.87|0.76|10.04|57.52|Good
2010| 06|04|55351.86|115.57|0.76|11.75|60.04|EPHIN
2010| 06|07|55354.51|115.28|0.76|11.75|62.56|EPHIN
2010| 06|09|55357.15|115.01|0.76|12.89|65.08|EPHIN
2010| 06|12|55359.79|114.75|0.76|12.89|67.59|EPHIN
2010| 06|14|55362.44|114.49|0.76|13.66|70.11|EPHIN
2010| 06|17|55365.08|114.25|0.76|13.66|72.62|EPHIN
2010| 06|20|55367.73|114.01|0.76|12.89|75.13|EPHIN
2010| 06|22|55370.37|113.78|0.76|12.89|77.65|EPHIN
2010| 06|25|55373.02|113.55|0.76|11.75|80.16|EPHIN
2010| 06|28|55375.66|113.33|0.76|11.75|82.67|EPHIN
2010| 06|30|55378.31|113.11|0.76|10.04|85.19|EPHIN
2010| 07|03|55380.95|112.89|0.76|10.04|87.70|EPHIN
2010| 07|06|55383.60|112.67|0.76|10.04|90.21|EPHIN
2010| 07|08|55386.24|112.45|0.76|10.04|92.72|EPHIN
2010| 07|11|55388.88|112.23|0.76|10.04|95.23|EPHIN
2010| 07|14|55391.53|112.00|0.76|10.04|97.75|EPHIN
2010| 07|16|55394.17|111.78|0.77|10.04|100.26|EPHIN
2010| 07|19|55396.82|111.55|0.77|10.04|102.77|EPHIN
2010| 07|21|55399.46|111.32|0.76|10.04|105.29|EPHIN
2010| 07|24|55402.11|111.08|0.77|10.04|107.80|EPHIN
2010| 07|27|55404.75|110.83|0.77|10.04|110.32|EPHIN
2010| 07|29|55407.40|110.58|0.77|10.04|112.84|EPHIN
2010| 08|01|55410.04|110.31|0.77|10.04|115.36|EPHIN
2010| 08|04|55412.69|110.04|0.77|10.04|117.88|EPHIN
2010| 08|06|55415.33|109.75|0.77|10.04|120.40|EPHIN
2010| 08|09|55417.98|109.45|0.77|9.60|122.92|EPHIN
